"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"d:\Projects\reCollect\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 33, 71
"d:\Projects\reCollect\package-lock.json", "JSON", 34135, 0, 0, 0, 0, 0, 1, 34136
"d:\Projects\reCollect\package.json", "JSON", 54, 0, 0, 0, 0, 0, 1, 55
"d:\Projects\reCollect\public\index.html", "HTML", 0, 20, 0, 0, 0, 23, 1, 44
"d:\Projects\reCollect\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"d:\Projects\reCollect\src\App.css", "CSS", 0, 0, 0, 161, 0, 0, 32, 193
"d:\Projects\reCollect\src\App.js", "JavaScript", 0, 0, 30, 0, 0, 11, 1, 42
"d:\Projects\reCollect\src\Components\AddModal.js", "JavaScript", 0, 0, 140, 0, 0, 3, 6, 149
"d:\Projects\reCollect\src\Components\EndBar.js", "JavaScript", 0, 0, 96, 0, 0, 2, 3, 101
"d:\Projects\reCollect\src\Components\EventCard.js", "JavaScript", 0, 0, 32, 0, 0, 0, 3, 35
"d:\Projects\reCollect\src\Components\NavBar.js", "JavaScript", 0, 0, 150, 0, 0, 0, 8, 158
"d:\Projects\reCollect\src\Components\ProductCard.js", "JavaScript", 0, 0, 93, 0, 0, 0, 3, 96
"d:\Projects\reCollect\src\Components\ProfileCard.js", "JavaScript", 0, 0, 98, 0, 0, 0, 3, 101
"d:\Projects\reCollect\src\Components\ProfileMenu.js", "JavaScript", 0, 0, 118, 0, 0, 0, 7, 125
"d:\Projects\reCollect\src\Components\SuccessModal.js", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 23
"d:\Projects\reCollect\src\Context\AppProvider.js", "JavaScript", 0, 0, 41, 0, 0, 0, 9, 50
"d:\Projects\reCollect\src\Context\AuthProvider.js", "JavaScript", 0, 0, 36, 0, 0, 0, 5, 41
"d:\Projects\reCollect\src\Firebase\config.js", "JavaScript", 0, 0, 16, 0, 0, 5, 5, 26
"d:\Projects\reCollect\src\Firebase\data.json", "JSON", 6, 0, 0, 0, 0, 0, 2, 8
"d:\Projects\reCollect\src\Firebase\services.js", "JavaScript", 0, 0, 10, 0, 0, 0, 2, 12
"d:\Projects\reCollect\src\Pages\DonateForm.js", "JavaScript", 0, 0, 346, 0, 0, 0, 13, 359
"d:\Projects\reCollect\src\Pages\DonateInfo.js", "JavaScript", 0, 0, 211, 0, 0, 0, 4, 215
"d:\Projects\reCollect\src\Pages\ErrorPage.js", "JavaScript", 0, 0, 23, 0, 0, 0, 2, 25
"d:\Projects\reCollect\src\Pages\Homepage.js", "JavaScript", 0, 0, 144, 0, 0, 25, 5, 174
"d:\Projects\reCollect\src\Pages\ItemInfo.js", "JavaScript", 0, 0, 477, 0, 0, 0, 7, 484
"d:\Projects\reCollect\src\Pages\LandingPage.js", "JavaScript", 0, 0, 480, 0, 0, 2, 5, 487
"d:\Projects\reCollect\src\Pages\Profile.js", "JavaScript", 0, 0, 47, 0, 0, 3, 3, 53
"d:\Projects\reCollect\src\Pages\Signin.js", "JavaScript", 0, 0, 267, 0, 0, 4, 12, 283
"d:\Projects\reCollect\src\Pages\Signup.js", "JavaScript", 0, 0, 236, 0, 0, 0, 7, 243
"d:\Projects\reCollect\src\Pages\UserInfo.js", "JavaScript", 0, 0, 167, 0, 0, 37, 5, 209
"d:\Projects\reCollect\src\icons\FacebookIcon.js", "JavaScript", 0, 0, 19, 0, 0, 0, 2, 21
"d:\Projects\reCollect\src\icons\GmailIcon.js", "JavaScript", 0, 0, 105, 0, 0, 0, 2, 107
"d:\Projects\reCollect\src\icons\GoogleIcon.js", "JavaScript", 0, 0, 30, 0, 0, 0, 2, 32
"d:\Projects\reCollect\src\icons\LogoIcon.js", "JavaScript", 0, 0, 20, 0, 0, 0, 2, 22
"d:\Projects\reCollect\src\icons\PhoneIcon.js", "JavaScript", 0, 0, 6, 0, 0, 0, 3, 9
"d:\Projects\reCollect\src\index.css", "CSS", 0, 0, 0, 13, 0, 0, 3, 16
"d:\Projects\reCollect\src\index.js", "JavaScript", 0, 0, 8, 0, 0, 3, 3, 14
"Total", "-", 34220, 20, 3468, 174, 38, 118, 207, 38245